Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_28_912.jpg;0;0;1;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_28_975.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_042.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_108.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_176.jpg;0;0;0;0;99.66999;85.58897;0.0002360299;56.82556;-1.48449E-08
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_243.jpg;4.045082;0;0;0;99.66999;85.58897;0.0002356487;57.43298;-1.709866E-06
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_309.jpg;4.035062;0;0;0;99.66999;85.58897;0.0002365641;58.39885;-4.206909E-06
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_375.jpg;0.03864169;0;0;0;99.66999;85.58897;0.0002354916;58.64858;-4.799005E-06
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_442.jpg;0;0;0;0;99.66999;85.58897;0.000234711;58.64858;-5.572281E-06
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_509.jpg;0;0;0;0;99.66999;85.58897;0.000234473;58.64858;-6.304137E-06
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_575.jpg;0;0;0;0;99.66999;85.58897;0.000234163;58.64858;-6.779115E-06
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_642.jpg;-2.002201;0;0;0;99.66999;85.58897;0.000234127;58.40834;-5.581315E-06
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_708.jpg;0;0;0;0;99.66999;85.58897;0.0002334152;58.4077;-5.005003E-06
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_775.jpg;0;0;0;0;99.66999;85.58897;0.0002328301;58.4077;-4.505057E-06
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_842.jpg;0;0;0;0;99.66999;85.58897;0.0002325376;58.4077;-4.255078E-06
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_908.jpg;0;0;0;0;99.66999;85.58897;0.0002325376;58.4077;-4.255078E-06
/Users/iTurbo/Google Drive/3. Developer/11. Udacity/2. Robotics/rover_project/personal_dataset/IMG/robocam_2017_07_06_19_28_29_975.jpg;0;0;0;0;99.66999;85.58897;0.0002325376;58.4077;-4.255078E-06
